DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,SEX,COUNT
5/19/21,3,BURN,ML,Mason,Lashley,Indigo Bunting,M,2
5/25/21,9,CONTROL,ML,Mason,Lashley,Indigo Bunting,M,1
5/28/21,9,CONTROL,ML,Lashley,NONE,Indigo Bunting,M,5
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Indigo Bunting,M,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Indigo Bunting,U,1
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Indigo Bunting,U,1
5/19/21,2,BURN,WR,Wilkin,Ribas,Indigo Bunting,U,3
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Indigo Bunting,U,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Indigo Bunting,U,1
5/21/21,3,CONTROL,ML,Mason,Lashley,Indigo Bunting,U,1
5/23/21,2,BURN,CM,Cantarero,Marcelletti,Indigo Bunting,U,1
5/24/21,5,BURN,BS,Bowden,NONE,Indigo Bunting,U,4
5/24/21,6,CONTROL,ML,Mason,Lashley,Indigo Bunting,U,2
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Indigo Bunting,U,2
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Indigo Bunting ,U ,1
5/18/21,3,CONTROL,ML,Mason,Lashley,Mourning Dove,F,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Mourning Dove,F,2
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Mourning Dove,F,3
5/18/21,3,CONTROL,ML,Mason,Lashley,Mourning Dove,M,1
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Mourning Dove,M,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Mourning Dove,M,2
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Mourning Dove,M,3
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Mourning Dove,U,6
5/19/21,1,BURN,BW,Balmaceda,Walford,Mourning Dove,U,1
5/19/21,2,BURN,WR,Wilkin,Ribas,Mourning Dove,U,3
5/21/21,3,CONTROL,ML,Mason,Lashley,Mourning Dove,U,1
5/23/21,2,BURN,CM,Cantarero,Marcelletti,Mourning Dove,U,5
5/26/21,7,CONTROL,PT,Tolar,Pinkley,Mourning Dove,U,2
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Mourning Dove,U ,2
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Mourning Dove,U ,2
5/25/21,8,BURN,PT,Tolar,Pinkley,Mourning Dove,U ,1
