"","Site","Treatment","Trap","Date","Time","Species","Age","Sex","Week","Functional"
"165",6,"B","B",2020-05-30,"14:58","Great crested flycatcher","Adult","Unknown",2020-05-31,"Other"
"166",7,"C","C",2020-05-13,"8:30","Great crested flycatcher","Adult","Unknown",2020-05-10,"Other"
"167",7,"C","C",2020-05-13,"18:09","Great crested flycatcher","Adult","Unknown",2020-05-10,"Other"
"168",17,"C","A",2020-05-21,"12:05","Great crested flycatcher","Adult","Unknown",2020-05-24,"Other"
"169",17,"C","A",2020-05-22,"9:14","Great crested flycatcher","Adult","Unknown",2020-05-24,"Other"
"170",17,"C","B",2020-05-16,"11:27","Great crested flycatcher","Adult","Unknown",2020-05-17,"Other"
"171",1,"C","C",2020-05-14,"15:37","Loggerhead shrike","Adult","Unknown",2020-05-17,"Other"
"172",1,"C","C",2020-05-14,"15:37","Loggerhead shrike","Adult","Unknown",2020-05-17,"Other"
"173",1,"C","C",2020-05-15,"18:43","Loggerhead shrike","Adult","Unknown",2020-05-17,"Other"
"174",1,"C","C",2020-05-29,"9:37","Loggerhead shrike","Adult","Unknown",2020-05-31,"Other"
"175",4,"C","B",2020-04-27,"12:46","Mourning dove","Adult","Unknown",2020-04-26,"Other"
"176",4,"C","B",2020-04-27,"15:29","Mourning dove","Adult","Unknown",2020-04-26,"Other"
"177",4,"C","C",2020-05-19,"11:44","Mourning dove","Adult","Unknown",2020-05-17,"Other"
"178",4,"C","C",2020-05-31,"9:31","Mourning dove","Adult","Unknown",2020-05-31,"Other"
"179",7,"C","C",2020-05-14,"18:53","Northern cardinal","Adult","Male",2020-05-17,"Frugivore"
"180",7,"C","C",2020-05-22,"7:55","Northern cardinal","Adult","Male",2020-05-24,"Frugivore"
"181",7,"C","C",2020-05-25,"16:15","Northern cardinal","Adult","Male",2020-05-24,"Frugivore"
"182",1,"B","C",2020-04-18,"11:31","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"183",1,"B","C",2020-04-18,"18:47","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"184",1,"B","C",2020-04-19,"10:19","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"185",1,"B","C",2020-04-20,"19:48","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"186",1,"B","C",2020-04-22,"11:24","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"187",1,"B","C",2020-04-22,"15:29","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
"188",1,"B","C",2020-05-01,"17:05","Northern mockingbird","Adult","Unknown",2020-05-03,"Frugivore"
"189",1,"B","C",2020-05-06,"10:49","Northern mockingbird","Adult","Unknown",2020-05-03,"Frugivore"
"190",1,"B","C",2020-05-03,"9:38","Northern mockingbird","Adult","Unknown",2020-05-03,"Frugivore"
"191",1,"B","C",2020-04-21,"19:02","Northern mockingbird","Adult","Unknown",2020-04-19,"Frugivore"
